architecture,unfreeze_pct,best_val_accuracy,training_time_seconds,num_parameters,num_trainable_parameters
resnet50,10,0.9019908116385911,220.7,23528522,5536778
resnet50,30,0.9081163859111792,248.3,23528522,16957194
resnet50,50,0.900459418070444,281.2,23528522,21097482
resnet50,100,0.8652373660030628,436.0,23528522,23528522
alexnet,10,0.14701378254211334,183.5,57044810,10
alexnet,30,0.8361408882082695,183.2,57044810,16822282
alexnet,50,0.8085758039816233,184.0,57044810,55165194
alexnet,100,0.14854517611026033,185.2,57044810,57044810
mobilenet_v2,10,0.885145482388974,199.5,2236682,899050
mobilenet_v2,30,0.885145482388974,202.0,2236682,1755978
mobilenet_v2,50,0.889739663093415,206.8,2236682,2051722
mobilenet_v2,100,0.877488514548239,213.0,2236682,2236682
googlenet,10,0.7856049004594181,201.5,11990138,6390490
googlenet,30,0.8759571209800919,206.4,11990138,8784186
googlenet,50,0.877488514548239,210.7,11990138,10126394
googlenet,100,0.8468606431852986,223.4,11990138,11990138
efficientnet_b0,10,0.889739663093415,204.7,4338054,1460090
efficientnet_b0,30,0.889739663093415,212.3,4338054,3372650
efficientnet_b0,50,0.8958652373660031,218.0,4338054,3978034
efficientnet_b0,100,0.891271056661562,235.1,4338054,4338054
